gene	ultracluster	PV	ResponderMid	NonresponderMid	AD	TResponderMid	TNonresponderMid
SP100	Tmm	0.384	0.493	0.614	0.29	0.507	0.617
YPEL3	Tmm	0.384	0.31	0.108	0.382	0.297	0.098
LRBA	Tmm	0.383	-0.386	1.08	0.126	-0.292	1.137
SNX6	Tmm	0.383	0.466	0.536	0.071	0.537	0.504
TFRC	Tmm	0.383	0.555	1.027	0.495	0.455	1.097
CCDC82	Tmm	0.381	0.358	0.735	0.497	0.313	0.78
CD2	Tmm	0.381	0.97	1.282	0.025	0.896	1.336
ZC3H15	Tmm	0.381	0.574	0.555	0.247	0.543	0.57
CBL	Tmm	0.38	0.472	0.969	0.408	0.481	1.001
FOXO1	Tmm	0.38	0.064	0.578	0.051	0.048	0.62
SATB1	Tmm	0.38	0.274	0.079	0.549	0.216	0.097
AGFG1	Tmm	0.379	0.501	0.865	0.086	0.441	0.916
BDP1	Tmm	0.378	0.713	0.67	0.442	0.692	0.677
STT3B	Tmm	0.378	-0.293	0.609	0.18	-0.241	0.649
CBX3	Tmm	0.376	0.834	0.912	0.328	0.942	0.859
EIF3A	Tmm	0.376	0.203	0.557	0.543	0.182	0.592
RAD21	Tmm	0.376	0.285	0.77	0.604	0.335	0.785
CYTH1	Tmm	0.375	0.457	0.775	0.535	0.417	0.815
TGFBR2	Tmm	0.374	0.264	0.799	0.119	0.379	0.791
HERC4	Tmm	0.373	0.568	0.861	0.409	0.632	0.854
BRD1	Tmm	0.372	0.42	0.644	0.325	0.454	0.646
KLHL24	Tmm	0.372	0.843	0.324	0.256	0.771	0.325
PJA2	Tmm	0.372	0.423	0.586	0.212	0.475	0.573
ICE1	Tmm	0.371	-0.004	0.965	0.447	0.159	0.977
PNN	Tmm	0.371	0.637	0.463	0.346	0.603	0.468
PARK7	Tmm	0.37	0.277	0.304	0.397	0.263	0.314
JPX	Tmm	0.369	0.397	0.521	0.6	0.407	0.526
NDUFA4	Tmm	0.369	0.671	0.254	0.342	0.726	0.17
CDV3	Tmm	0.368	0.1	0.466	0.239	0.108	0.489
LARP7	Tmm	0.368	0.863	0.805	-0.068	0.852	0.806
RAB21	Tmm	0.368	0.389	0.642	0.396	0.357	0.675
PRDM2	Tmm	0.367	0.406	0.71	0.251	0.419	0.728
STK24	Tmm	0.366	-0.076	0.719	0.078	-0.021	0.752
TRIP11	Tmm	0.366	0.181	0.582	0.377	0.217	0.597
VPS28	Tmm	0.364	-0.192	0.271	0.068	-0.09	0.262
BST2	Tmm	0.363	0.403	0.464	-0.137	0.259	0.539
ARFGEF1	Tmm	0.362	0.489	0.929	0.397	0.348	1.012
KAT6A	Tmm	0.362	0.375	0.883	0.331	0.375	0.918
SPEN	Tmm	0.361	0.318	0.815	0.482	0.339	0.842
ARID1B	Tmm	0.359	-0.061	0.572	0.265	0.028	0.583
HM13	Tmm	0.359	-0.211	0.377	0.469	-0.231	0.424
SEL1L	Tmm	0.357	0.311	1.108	0.681	0.368	1.141
RBBP6	Tmm	0.356	0.361	0.569	0.631	0.323	0.603
CSNK2A1	Tmm	0.355	0.405	0.694	0.199	0.402	0.717
HP1BP3	Tmm	0.355	0.255	0.854	0.18	0.283	0.884
KDELR1	Tmm	0.355	-0.252	-0.088	0.095	-0.287	-0.058
NSA2	Tmm	0.355	0.578	0.392	0.406	0.563	0.384
PCMTD1	Tmm	0.355	0.819	0.861	0.304	0.837	0.855
PSMA1	Tmm	0.355	0.424	0.54	0.295	0.466	0.528
CDC40	Tmm	0.354	0.117	0.461	0.237	0.072	0.505
MARCH7	Tmm	0.354	0.74	0.602	0.395	0.599	0.668
TIPARP	Tmm	0.354	0.607	0.754	0.253	0.608	0.766
ABCF1	Tmm	0.353	0.914	0.342	0.08	0.857	0.329
STK10	Tmm	0.353	0.107	0.842	0.431	0.153	0.875
ANKRD12	Tmm	0.352	0.29	0.266	0.177	0.245	0.288
CBX5	Tmm	0.352	0.874	1.007	0.301	0.83	1.039
KIAA1551	Tmm	0.352	0.161	0.99	0.195	0.134	1.05
ANKRD49	Tmm	0.351	1.028	0.957	0.363	1.233	0.82
NSRP1	Tmm	0.351	1.349	0.751	-0.036	1.323	0.709
RICTOR	Tmm	0.351	-0.168	0.257	0.394	-0.181	0.293
FOXP1	Tmm	0.35	0.429	0.213	0.165	0.374	0.227
HCST	Tmm	0.35	-0.102	0.325	0.506	-0.057	0.338
SIPA1L1	Tmm	0.349	0.411	0.295	0.327	0.407	0.287
ZNF91	Tmm	0.349	0.178	0.894	0.243	0.24	0.921
HECTD1	Tmm	0.348	-0.212	0.537	0.489	0.102	0.471
YIPF6	Tmm	0.348	0.47	0.278	0.136	0.299	0.358
CFLAR	Tmm	0.347	0.246	0.748	0.315	0.204	0.799
HNRNPR	Tmm	0.346	0.267	0.559	0.155	0.272	0.579
ARID1A	Tmm	0.345	0.776	0.499	0.516	0.672	0.538
CHD1	Tmm	0.345	0.234	0.433	0.184	0.164	0.48
TMEM259	Tmm	0.345	0.235	0.142	0.083	0.207	0.149
TRIM52	Tmm	0.345	0.098	0.755	0.407	-0.074	0.852
UBXN4	Tmm	0.345	0.574	0.461	0.256	0.595	0.439
YME1L1	Tmm	0.345	0.862	0.491	0.326	0.843	0.469
FAM133B	Tmm	0.343	1.189	0.448	0.083	1.149	0.402
CCDC47	Tmm	0.342	0.552	0.843	0.279	0.491	0.89
HUWE1	Tmm	0.342	0.166	0.958	0.515	0.16	1.01
MBD2	Tmm	0.342	-0.261	0.526	0.478	-0.231	0.567
BAZ1B	Tmm	0.34	0.811	0.677	0.336	0.715	0.72
GLS	Tmm	0.34	0.485	0.904	0.355	0.439	0.952
JAK1	Tmm	0.34	0.208	0.524	0.048	0.204	0.55
ZNF267	Tmm	0.34	0.908	0.836	0.107	0.934	0.815
CDK11B	Tmm	0.338	0.615	0.689	-0.038	0.671	0.666
CYLD	Tmm	0.338	0.462	0.701	0.413	0.412	0.742
CLINT1	Tmm	0.337	0.298	0.784	0.3	0.336	0.804
PTGES3	Tmm	0.335	0.489	0.348	0.151	0.447	0.361
CELF2	Tmm	0.334	-0.794	-0.007	0.182	-0.693	0.011
CCDC66	Tmm	0.333	0.635	0.576	0.159	0.555	0.615
CDK11A	Tmm	0.333	0.277	0.685	0.138	0.313	0.699
USP34	Tmm	0.333	0.175	0.613	0.213	0.146	0.655
UBE4A	Tmm	0.332	0.888	0.632	0.489	0.705	0.717
GCC2	Tmm	0.331	0.605	0.425	0.293	0.557	0.438
ANP32A	Tmm	0.33	-0.209	0.352	0.267	-0.147	0.367
CSNK1A1	Tmm	0.329	0.509	0.483	0.282	0.489	0.492
PPP6R3	Tmm	0.329	0.355	0.682	0.229	0.375	0.698
SCAMP2	Tmm	0.329	0.53	0.301	0.271	0.415	0.35
DDX6	Tmm	0.328	0.822	0.848	0.137	0.787	0.869
SLTM	Tmm	0.328	0.845	0.597	0.085	0.741	0.639
COX4I1	Tmm	0.327	-0.109	0.017	0.313	-0.066	0.006
CTCF	Tmm	0.326	0.052	0.725	0.398	0.027	0.778
TBRG1	Tmm	0.326	0.667	0.302	0.15	0.53	0.357
DIDO1	Tmm	0.325	0.663	0.988	0.454	0.683	1.003
IFI16	Tmm	0.325	0.321	0.801	0.22	0.371	0.816
NPIPB5	Tmm	0.325	-0.002	1.139	0.306	-0.186	1.243
KMT2C	Tmm	0.324	0.203	0.533	0.31	0.241	0.542
IRF2	Tmm	0.323	0.39	0.763	0.164	0.367	0.8
PRPF4B	Tmm	0.323	0.549	0.814	0.126	0.547	0.835
ATP5F1D	Tmm	0.322	-0.069	-0.025	0.466	-0.031	-0.042
ELK4	Tmm	0.322	1.096	0.789	0.407	1.011	0.816
ARGLU1	Tmm	0.321	0.284	0.479	0.43	0.204	0.53
TLK1	Tmm	0.321	0.961	0.368	0.317	0.835	0.405
CD46	Tmm	0.32	0.179	1.072	0.235	0.131	1.14
PPP4R2	Tmm	0.32	0.283	0.517	0.105	0.249	0.55
PRRC2C	Tmm	0.319	0.708	0.552	0.169	0.667	0.562
ACIN1	Tmm	0.318	0.545	0.965	0.38	0.545	0.996
SENP6	Tmm	0.318	0.675	0.704	0.187	0.652	0.719
PRPF40A	Tmm	0.317	0.618	0.482	0.273	0.57	0.498
GOLGB1	Tmm	0.316	0.367	0.774	0.447	0.21	0.862
IKBKB	Tmm	0.316	0.129	0.759	0.725	0.172	0.787
KDM2A	Tmm	0.316	0.306	0.72	0.461	0.301	0.752
MBTPS1	Tmm	0.316	0.445	1.019	0.204	0.494	1.041
TTC3	Tmm	0.316	-0.226	0.622	0.257	-0.312	0.699
TOMM7	Tmm	0.315	-0.124	0.005	0.363	-0.068	-0.014
USP36	Tmm	0.315	0.512	0.353	0.536	0.532	0.326
ASXL1	Tmm	0.314	0.353	0.726	0.104	0.387	0.739
MZT2B	Tmm	0.314	-0.716	-0.156	0.408	-0.67	-0.134
ZNF706	Tmm	0.314	0.05	0.384	0.266	0.135	0.371
CEP350	Tmm	0.313	0.392	0.954	0.45	0.433	0.978
FNBP4	Tmm	0.313	-0.124	0.344	0.313	-0.158	0.39
KRTCAP2	Tmm	0.313	1.044	0.617	0.306	1.077	0.549
SMG6	Tmm	0.313	0.171	0.268	0.483	0.204	0.258
SP3	Tmm	0.313	0.654	0.394	0.375	0.611	0.398
RSBN1L	Tmm	0.311	0.371	0.292	0.245	0.352	0.296
GSPT1	Tmm	0.31	0.316	0.447	0.239	0.256	0.486
RANBP2	Tmm	0.31	0.368	1.08	0.244	0.336	1.137
ZBTB11	Tmm	0.31	0.467	0.916	0.205	0.415	0.968
DDX17	Tmm	0.309	0.517	0.728	0.426	0.524	0.741
CLEC2D	Tmm	0.307	0.583	0.731	0.331	0.579	0.744
AC016831.7	Tmm	0.304	0.109	0.671	0.282	0.129	0.702
UHMK1	Tmm	0.304	0.395	0.785	0.458	0.359	0.828
ZNF644	Tmm	0.304	0.65	0.743	0.167	0.621	0.765
CD5	Tmm	0.303	0.525	0.576	0.793	0.338	0.669
FRYL	Tmm	0.303	0.152	0.918	0.213	0.072	0.99
IFNAR2	Tmm	0.303	0.615	0.647	0.556	0.659	0.626
RBM33	Tmm	0.303	0.346	0.933	0.47	0.266	1
ROCK1	Tmm	0.303	-0.018	0.485	0.26	-0.021	0.521
UQCRB	Tmm	0.302	0.194	0.263	0.415	0.197	0.267
YTHDC1	Tmm	0.302	0.893	0.66	0.218	0.888	0.642
CLDND1	Tmm	0.301	0.845	0.886	0.437	0.859	0.881
DCAF5	Tmm	0.301	0.506	0.56	0.112	0.456	0.59
RALBP1	Tmm	0.301	-0.238	0.144	0.226	-0.271	0.185
SON	Tmm	0.301	0.856	0.579	0.128	0.786	0.598
TACC1	Tmm	0.301	0.037	0.469	0.665	0.004	0.513
NDFIP1	Tmm	0.3	0.279	0.057	0.195	0.274	0.039
DNAJB14	Tmm	0.299	0.658	0.966	0.386	0.588	1.018
ELOVL5	Tmm	0.299	-0.089	0.475	0.195	-0.175	0.543
DHX36	Tmm	0.298	0.334	0.384	0.33	0.339	0.385
KMT2B	Tmm	0.298	0.079	-0.11	0.441	-0.015	-0.072
PCM1	Tmm	0.298	0.033	0.727	0.218	0.065	0.762
SRPRA	Tmm	0.298	0.518	0.696	-0.08	0.428	0.75
IRF3	Tmm	0.297	0.005	0.497	0.254	0.025	0.524
C5orf24	Tmm	0.296	-0.074	0.249	0.376	-0.188	0.319
DYRK1A	Tmm	0.296	0.118	0.887	0.219	0.072	0.95
TAOK1	Tmm	0.296	0.51	0.584	0.491	0.455	0.617
CD28	Tmm	0.295	0.741	0.898	0.278	0.681	0.939
SYF2	Tmm	0.295	0.776	0.516	0.142	0.785	0.486
WNK1	Tmm	0.295	-0.213	0.688	0.44	-0.145	0.724
TOMM20	Tmm	0.294	-0.357	0.191	0.418	-0.291	0.204
SRRM2	Tmm	0.291	0.343	0.359	0.242	0.249	0.409
C6orf62	Tmm	0.29	1.009	0.572	0.438	0.931	0.585
ATP13A3	Tmm	0.289	0.284	1.142	0.361	0.211	1.215
TMED4	Tmm	0.289	-0.161	0.193	0.211	-0.023	0.158
ZFYVE16	Tmm	0.288	0.025	0.991	0.107	0.15	1.013
ZNF148	Tmm	0.288	0.306	0.567	0.222	0.289	0.595
KIF5B	Tmm	0.287	0.154	0.418	0.628	0.122	0.452
PTPN1	Tmm	0.287	0.149	0.176	0.115	0.095	0.206
PUM1	Tmm	0.286	0.816	0.631	0.287	0.759	0.649
ITSN2	Tmm	0.285	0.86	0.481	0.221	0.804	0.484
KIAA2026	Tmm	0.284	0.038	0.411	0.375	0.1	0.412
SPTAN1	Tmm	0.284	0.188	0.897	0.229	0.174	0.947
HERC1	Tmm	0.283	-0.222	0.634	0.771	-0.16	0.668
TMEM50A	Tmm	0.282	0.557	0.578	0.275	0.672	0.514
INO80D	Tmm	0.281	0.981	0.894	0.14	0.95	0.904
SMC1A	Tmm	0.281	0.39	0.718	0.465	0.269	0.791
STAG2	Tmm	0.281	0.691	0.898	0.122	0.679	0.92
SERINC3	Tmm	0.28	0.702	0.876	0.273	0.673	0.903
AHCTF1	Tmm	0.279	0.339	0.992	0.345	0.182	1.084
ARHGEF1	Tmm	0.279	0.409	0.806	0.336	0.269	0.888
UBR5	Tmm	0.279	0.097	0.823	0.338	0.077	0.877
HIPK2	Tmm	0.277	-0.541	-0.211	0.479	-0.278	-0.315
RBM5	Tmm	0.277	0.498	0.597	0.197	0.506	0.601
SUGP2	Tmm	0.277	-0.182	0.82	0.321	-0.171	0.876
ATG12	Tmm	0.276	0.59	0.46	0.126	0.623	0.428
GLG1	Tmm	0.274	-0.504	0.553	0.187	-0.55	0.626
RLF	Tmm	0.273	-0.011	0.387	0.315	-0.028	0.423
BTN3A2	Tmm	0.272	-1.051	0.064	0.507	-1.039	0.125
AHNAK	Tmm	0.27	0.263	0.962	0.754	0.361	0.975
ERN1	Tmm	0.27	-0.784	0.534	-0.181	-0.564	0.555
REST	Tmm	0.269	0.509	0.52	0.35	0.518	0.516
TAF1D	Tmm	0.269	0.15	0.377	0.26	0.089	0.422
N4BP2L2	Tmm	0.268	0.346	0.682	0.077	0.385	0.69
LUC7L3	Tmm	0.267	0.027	0.326	0.34	0.045	0.341
PPP1R12A	Tmm	0.267	0.22	0.391	0.238	0.174	0.426
SET	Tmm	0.267	0.723	0.383	0.199	0.69	0.373
SRSF11	Tmm	0.267	0.876	0.08	0.273	0.778	0.08
ANAPC5	Tmm	0.266	0.154	0.63	0.358	0.051	0.701
ERP29	Tmm	0.266	-0.564	-0.016	0.241	-0.58	0.028
RAP1B	Tmm	0.266	0.66	0.418	0.082	0.706	0.365
DNAJC21	Tmm	0.265	0.614	0.116	0.11	0.557	0.109
KDM5A	Tmm	0.265	0.357	0.595	0.32	0.295	0.641
HDLBP	Tmm	0.264	-0.513	0.496	0.087	-0.464	0.543
PSMA3-AS1	Tmm	0.264	0.694	0.585	0.217	0.614	0.621
P4HA1	Tmm	0.263	-0.628	0.462	0.305	-0.648	0.53
TAX1BP1	Tmm	0.263	0.693	0.744	0.057	0.666	0.761
POLR2J3.1	Tmm	0.262	0.002	0.586	0.401	0.004	0.625
WASF2	Tmm	0.262	-0.068	0.15	0.27	-0.066	0.166
BCL2L11	Tmm	0.261	0.269	0.805	0.352	0.224	0.858
BRD4	Tmm	0.26	0.514	0.528	0.281	0.564	0.501
CRBN	Tmm	0.26	0.546	0.351	0.266	0.518	0.351
PTBP3	Tmm	0.26	0.184	0.739	0.256	0.267	0.746
RNF149	Tmm	0.26	0.207	0.611	0.113	0.244	0.626
UBE2G2	Tmm	0.26	-0.071	0.769	0.289	-0.045	0.813
METRNL	Tmm	0.259	0.511	-0.06	-0.365	0.448	-0.069
ORMDL1	Tmm	0.259	-0.094	0.703	0.283	0.044	0.709
DNAJA2	Tmm	0.257	0.597	0.551	0.06	0.603	0.544
G3BP1	Tmm	0.257	0.469	0.696	0.19	0.386	0.75
ZC3H13	Tmm	0.256	0.604	0.461	0.371	0.572	0.467
CAST	Tmm	0.254	-0.1	0.362	-0.059	0.042	0.336
MAF	Tmm	0.254	0.75	1.003	0.085	0.918	0.94
PRRC2B	Tmm	0.254	0.409	0.748	0.482	0.391	0.781
THOC2	Tmm	0.254	0.477	0.622	0.116	0.465	0.639
CCSER2	Tmm	0.252	0.163	0.627	-0.106	0.175	0.655
PPM1G	Tmm	0.251	0.23	0.443	0.241	0.246	0.452
TNFAIP3	Tmm	0.251	0.336	0.461	-0.025	0.28	0.498
WDR26	Tmm	0.251	0.653	0.759	0.602	0.546	0.818
TNRC6B	Tmm	0.249	0.181	0.468	0.263	0.226	0.469
ARID4B	Tmm	0.247	0.418	0.369	0.135	0.392	0.38
CD52	Tmm	0.247	0.539	0.386	0.481	0.554	0.364
PPP4R3A	Tmm	0.246	0.426	0.811	0.223	0.333	0.875
AC025164.1	Tmm	0.245	0.358	0.564	-0.416	0.397	0.562
GMFG	Tmm	0.245	0.291	0.099	0.51	0.336	0.053
ETS1	Tmm	0.244	0.426	0.674	-0.11	0.475	0.67
LGALS8	Tmm	0.244	0.104	0.885	0.103	0.226	0.896
PPP1R10	Tmm	0.243	1.271	0.916	-0.097	1.235	0.907
ZNF207	Tmm	0.241	0.614	0.837	0.311	0.561	0.878
ACTR2	Tmm	0.24	0.369	0.646	0.223	0.345	0.678
SPOCK2	Tmm	0.239	0.143	0.295	-0.03	0.132	0.312
JUND	Tmm	0.238	0.492	-0.31	0.027	0.39	-0.307
NORAD	Tmm	0.238	-0.269	0.331	0.109	-0.287	0.378
RBBP4	Tmm	0.238	0.673	0.745	0.314	0.595	0.79
CD3D	Tmm	0.237	0.209	0.554	0.277	0.233	0.57
LENG8	Tmm	0.236	0.082	-0.049	0.309	0.01	-0.019
NIPBL	Tmm	0.236	0.469	0.484	0.303	0.45	0.496
SYNE2	Tmm	0.235	-0.473	0.724	0.302	-0.407	0.775
CD37	Tmm	0.234	-0.402	-0.029	0.356	-0.347	-0.024
PURA	Tmm	0.234	0.553	0.188	0.307	0.493	0.194
UPF2	Tmm	0.234	0.572	0.624	0.337	0.622	0.602
PDCD4	Tmm	0.233	0.96	0.774	0.026	0.928	0.777
HSP90B1	Tmm	0.231	-0.035	0.671	0.242	0.088	0.675
ZNF451	Tmm	0.231	0.127	0.777	0.455	0.092	0.831
ITGB1	Tmm	0.229	0.433	0.726	0.172	0.433	0.748
NPM1	Tmm	0.229	-0.49	0.101	0.186	-0.369	0.097
HNRNPA3	Tmm	0.228	0.586	0.883	-0.113	0.587	0.905
HOOK3	Tmm	0.228	0.2	0.5	0.169	0.245	0.503
TOP1	Tmm	0.227	1.03	0.383	0.086	0.981	0.355
SF3B1	Tmm	0.226	-0.004	0.84	-0.006	-0.031	0.9
AKAP9	Tmm	0.225	0.23	0.539	0.213	0.168	0.588
PNISR	Tmm	0.225	-0.245	0.259	0.188	-0.284	0.308
MARK3	Tmm	0.222	-0.108	0.511	0.156	-0.017	0.52
GABPB1-AS1	Tmm	0.221	-0.568	1.005	-0.386	-0.702	1.105
ATP2B4	Tmm	0.218	0.429	0.732	0.224	0.596	0.675
SERBP1	Tmm	0.217	0.563	0.386	0.122	0.516	0.399
HNRNPH1	Tmm	0.216	1.456	0.551	0.313	1.376	0.523
HNRNPU	Tmm	0.216	0.56	0.645	0.192	0.525	0.669
PPIB	Tmm	0.216	-0.259	0.211	0.376	-0.081	0.17
JOSD1	Tmm	0.214	0.408	0.316	0.158	0.359	0.336
NKTR	Tmm	0.213	-0.426	0.495	0.378	-0.38	0.538
PSIP1	Tmm	0.213	-0.044	0.309	0.255	0.062	0.289
RGS10	Tmm	0.213	0.157	0.028	0.297	0.339	-0.105
CFDP1	Tmm	0.21	0.523	0.443	0.052	0.595	0.393
NUMA1	Tmm	0.209	-0.063	0.546	0.28	0.054	0.544
BRD9	Tmm	0.208	0.122	-0.185	0.031	0.336	-0.381
RBM25	Tmm	0.208	0.166	0.339	0.168	0.142	0.364
TIAL1	Tmm	0.207	0.166	0.46	0.208	0.261	0.438
TPT1	Tmm	0.207	-0.026	-0.166	0.119	-0.003	-0.193
SMC3	Tmm	0.205	0.032	0.41	0.263	0.035	0.437
CHD2	Tmm	0.202	0.425	0.684	0.228	0.452	0.692
HCLS1	Tmm	0.201	0.498	0.592	0.332	0.439	0.629
IQGAP1	Tmm	0.201	0.245	0.594	0.153	0.242	0.622
SEPT6	Tmm	0.201	0.205	0.359	0.652	0.165	0.39
SESN3	Tmm	0.2	0.252	0.584	0.71	0.21	0.626
ANKLE2	Tmm	0.199	0.102	0.565	0.266	0.062	0.613
GPR183	Tmm	0.195	0.735	0.304	-0.127	0.748	0.252
TCF25	Tmm	0.194	0.262	0.135	-0.049	0.219	0.15
SAMHD1	Tmm	0.191	-0.948	0.536	0.332	-0.91	0.605
EPC1	Tmm	0.188	1.032	0.489	0.019	0.989	0.466
GNAI2	Tmm	0.188	0.013	0.008	0.367	0.041	-0.007
CENPC	Tmm	0.187	0.92	0.675	0.089	0.89	0.672
FNBP1	Tmm	0.186	0.021	0.161	0.26	-0.033	0.198
HNRNPD	Tmm	0.186	0.55	0.364	0.109	0.495	0.38
CD96	Tmm	0.184	0.602	0.679	0.032	0.607	0.683
PCSK7	Tmm	0.183	-0.171	0.216	0.339	-0.26	0.279
NCL	Tmm	0.182	0.304	0.708	0.089	0.293	0.742
LINC01943	Tmm	0.18	0.361	0.595	0.001	0.386	0.602
PBXIP1	Tmm	0.18	0.24	0.817	0.037	0.213	0.866
DDX5	Tmm	0.178	0.749	0.4	0.046	0.716	0.389
TBC1D2B	Tmm	0.175	-0.325	0.41	0.279	-0.338	0.461
RNMT	Tmm	0.171	0.542	0.248	0.229	0.529	0.229
DDX24	Tmm	0.169	0.528	0.486	-0.046	0.522	0.486
CREBZF	Tmm	0.163	-0.239	0.493	-0.019	-0.182	0.522
TM9SF3	Tmm	0.161	0.352	0.963	0.275	0.296	1.024
NFATC2IP	Tmm	0.157	0.119	0.434	0.334	0.144	0.447
DPP7	Tmm	0.154	-0.079	-0.071	0.158	-0.104	-0.057
DGKA	Tmm	0.151	-0.106	0.891	0.17	-0.032	0.93
DYNC1H1	Tmm	0.151	-0.11	0.416	0.294	-0.226	0.493
BCL11B	Tmm	0.148	-0.062	0.773	0.575	0.007	0.804
MPHOSPH8	Tmm	0.148	0.003	0.334	0.123	0.003	0.359
MALT1	Tmm	0.144	-0.892	0.202	0.111	-0.845	0.254
DDX46	Tmm	0.133	0.05	0.272	-0.082	0.067	0.28
ATXN1	Tmm	0.128	-0.258	0.493	0.163	-0.347	0.568
CASP8	Tmm	0.122	-0.293	0.47	0.112	-0.397	0.55
CD6	Tmm	0.111	0.345	0.272	0.246	0.284	0.299
BCLAF1	Tmm	0.107	0.461	0.646	0.126	0.431	0.674
RSRP1	Tmm	0.104	0.263	0.556	0.183	0.232	0.591
HTATIP2	Tmm	0.1	0.133	0.163	0.164	0.195	0.131
FYB1	Tmm	0.09	-0.115	0.459	0.383	-0.123	0.502
PTPRC	Tmm	0.037	0.028	0.582	-0.05	0.034	0.618
RBM6	Tmm	0.006	0.097	0.326	-0.085	-0.018	0.394
MTRNR2L8	Treg	4.7	-0.716	1.331	-1.788	2.492	-1.923
USP9Y	Treg	3.7	3.805	3.762	2.44	3.919	3.673
ZFY	Treg	3.649	3.269	3.556	1.984	3.144	3.695
DDX3Y	Treg	3.239	2.495	3.378	1.479	2.905	3.454
SATB1	Treg	3.208	1.749	2.597	2.966	1.674	2.822
TWIST1	Treg	3.02	2.143	1.653	3.493	1.197	1.978
UTY	Treg	2.937	2.67	3.184	1.818	2.916	3.223
USP51	Treg	2.643	1.956	2.643	1.453	1.807	2.863
TTTY15	Treg	2.612	2.443	2.748	1.295	2.869	2.603
GNG8	Treg	2.505	2.988	1.777	1.347	2.773	1.33
EIF1AY	Treg	2.462	2.335	2.783	1.684	2.931	2.589
KDM5D	Treg	2.281	1.532	2.162	1.279	2.031	2.114
NPDC1	Treg	2.149	0.122	1.111	2.419	-0.172	1.403
LAIR2	Treg	2.143	1.543	1.412	1.647	1.263	1.523
LGMN	Treg	2.136	0.974	2.311	2.288	2.185	2.167
CPM	Treg	2.036	1.592	1.958	1.079	1.593	2.064
MTRNR2L12	Treg	2.016	0.102	-0.558	-0.811	-0.415	-0.452
BLM	Treg	1.969	1.047	2.116	1.515	1.46	2.238
MAL	Treg	1.968	1.112	1.923	0.654	0.883	2.182
MAGEH1	Treg	1.957	1.176	1.653	1.311	0.907	1.876
LY75	Treg	1.886	1.341	1.833	1.434	1.179	2.026
FAAH2	Treg	1.863	0.919	1.838	1.079	1.233	1.958
CXCR3	Treg	1.839	0.684	1.643	1.177	0.542	1.9
LINC00891	Treg	1.748	1.114	1.647	0.994	1.468	1.639
CHRNA6	Treg	1.688	0.269	1.744	0.847	0.607	1.964
NFE2L3	Treg	1.658	0.878	1.777	1.364	0.646	2.046
IL21R	Treg	1.65	0.789	1.678	1.397	0.513	1.955
PRG4	Treg	1.606	1.159	2.465	1.942	1.725	2.592
ETV7	Treg	1.55	1.317	1.403	1.567	0.414	1.752
GBP4	Treg	1.527	1.364	1.944	0.822	0.81	2.252
ZNF282	Treg	1.464	-0.375	0.879	1.577	-0.54	1.173
HELLS	Treg	1.378	0.337	1.304	1.487	1.002	1.295
CSF1	Treg	1.373	0.854	1.221	1.232	0.84	1.334
RARRES3	Treg	1.359	1.202	0.757	1.183	1.378	0.387
CREB3L2	Treg	1.355	0.382	0.98	0.733	0.155	1.209
IL1R1	Treg	1.343	1.006	2.305	0.996	1.394	2.483
ATP13A3	Treg	1.335	0.64	1.483	1.467	0.371	1.754
CPT1A	Treg	1.297	1.248	1.566	0.801	1.594	1.48
ZNF280C	Treg	1.26	1.351	1.74	1.148	1.262	1.888
RABGAP1L	Treg	1.247	0.957	1.353	0.651	1.095	1.408
BICDL1	Treg	1.242	0.684	0.97	1.019	0.235	1.22
CUL9	Treg	1.223	1.04	0.947	0.718	0.757	1.067
MYL6B	Treg	1.216	0.257	0.982	1.315	0.396	1.12
NETO2	Treg	1.211	0.384	1.565	1.073	0.248	1.846
NCK1-DT	Treg	1.21	1.381	1.737	0.953	1.949	1.513
ABLIM1	Treg	1.204	0.501	1.279	1.018	1.184	1.188
AC092683.1	Treg	1.204	0.862	0.338	1.103	0.331	0.484
E2F3	Treg	1.202	0.901	1.353	1.046	1.053	1.416
FURIN	Treg	1.202	-0.363	0.82	1.04	0.06	0.964
GRK3	Treg	1.199	0.443	0.877	0.965	-0.063	1.159
WAC-AS1	Treg	1.191	1.058	1.044	1.091	1.349	0.836
KIAA0319L	Treg	1.175	-0.146	0.674	0.689	0.033	0.818
PRKCB	Treg	1.173	-0.103	1.16	0.94	0.348	1.313
TEFM	Treg	1.17	0.955	1.102	0.596	0.927	1.164
ADAT2	Treg	1.132	1.062	1.272	0.947	1.263	1.23
MALT1	Treg	1.13	-0.067	1.141	0.913	-0.097	1.404
DNPH1	Treg	1.129	0.741	1.066	0.64	1.107	0.97
IL1R2	Treg	1.129	-0.326	1.227	0.756	-0.198	1.5
SMARCAD1	Treg	1.126	1.174	1.529	1.023	1.064	1.677
SH3PXD2A	Treg	1.123	0.302	1.097	1.126	0.502	1.229
LINC01727	Treg	1.122	0.72	1.05	1.299	0.315	1.293
KLHL42	Treg	1.121	0.496	0.574	1.456	0.317	0.688
GOLGA8A	Treg	1.118	1.12	0.949	1.579	0.582	1.163
FAM50B	Treg	1.113	0.621	1.071	0.95	0.724	1.156
GIMAP4	Treg	1.113	0.877	0.927	0.886	1.027	0.853
RRAGB	Treg	1.107	0.591	1.347	0.47	0.434	1.58
APOL3	Treg	1.105	0.831	1.049	1.157	0.94	1.062
HSDL2	Treg	1.101	0.164	1.159	0.999	0.891	1.131
